lazy src,small-margin,small-margin (2),small-margin (3),content href
https://thrivecommunities.com/wp-content/uploads/2023/11/CV600.jpg,CORONADO & VALENCIA,103 Units,"Seattle, WA",https://www.coronadoandvalencia.com/
https://thrivecommunities.com/wp-content/uploads/2023/08/DSV600px.jpg,D STREET VILLAGE,100 Units,"Portland, OR",https://www.dstreetvillage.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/DesieThumb-600x600.jpg,DESIE,338 Units,"Burien, WA",https://www.liveatdesie.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/029-Quick-D72_3490_edited.jpg,DEXTER HAYES,64 Units,"Seattle, WA",https://www.liveatdexterhayes.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mls-26-600x600.jpg,DOCKSIDE,344 Units,"Kent, WA",https://www.liveatdockside.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_62754407-600x600.jpg,DORIAN,184 Units,"Seattle, WA",https://www.dorianseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/16_edited-100x100.jpg,DRIFTWOOD,382 Units,"Kent, WA",https://www.livedriftwood.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_005-100x100.jpg,EAST UNION,144 Units,"Seattle, WA",https://www.eastunionseattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_ammenities-4-100x100.jpg,ELEMENT 42,78 Units,"Seattle, WA",https://www.element42apts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/600pxEllinor-100x100.jpg,ELLINOR BALLARD,105 Units,"Seattle, WA",https://www.ellinorballard.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/Ellis600-100x100.jpg,ELLIS AT BEL-RED,173 Units,"Bellevue, WA",https://ellisbelred.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Rooftop-681A7820-HDR-Edit_edited-100x100.jpg,ELM ROW,191 Units,"Portland, OR",https://www.liveelmrow.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_thr_001-100x100.jpg,EMERSON SEATTLE,288 Units,"Seattle, WA",https://www.emersonseattle.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/EncoreFW600-100x100.jpg,ENCORE FEDERAL WAY,401 Units,"Federal Way, WA",https://www.encorefederalway.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/Communities-Excelsior2-100x100.jpg,EXCELSIOR,203 Units,"Seattle, WA",https://excelsiorseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Ariel-Roosevelt-Ridge-002-Living-Dining-staged-SA_edited-100x100.jpg,FINN,75 Units,"Seattle, WA",https://www.liveatfinn.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/Fireside-100x100.jpg,FIRESIDE FLATS,102 Units,"Seattle, WA",https://firesideflats.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_190520-04e-100x100.jpg,FOREST HILL VILLAGE,168 Units,"Tacoma, WA",https://www.foresthillvillageapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_jannell-fountain_village-master_bedroom-staged-sa2-600x600.jpg,FOUNTAIN VILLAGE,160 Units,"Vancouver, WA",https://www.fountainvillageapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_gayteway_apartments-26-600x600.jpg,GAYTEWAY AT HAWKS PRAIRIE,96 Units,"Lacey, WA",https://www.gaytewayhawksprairie.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Grand600.jpg,GRAND STREET COMMONS,569 Units,"Seattle, WA",https://grandstreetcommons.com/
https://thrivecommunities.com/wp-content/uploads/2024/01/Grant600.jpg,GRANT,252 Units,"Seattle, WA",https://grantseattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_glv1x1livingroomb-600x600.jpg,GREEN LAKE VILLAGE,297 Units,"Seattle, WA",https://www.greenlakevillage.com/
https://thrivecommunities.com/wp-content/uploads/2023/12/Hailey600.jpg,HAILEY,186 Units,"Tacoma, WA",https://www.livehailey.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1capture_9-600x600.png,HALLER POST,102 Units,"Seattle, WA",https://www.hallerpostapts.com/
https://thrivecommunities.com/wp-content/uploads/2024/01/Heartwood600px-1.jpg,HEARTWOOD,95 Units,"Eugene, OR",https://www.heartwoodeugene.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Imber-13_edited.jpg,IMBER AT UNION MILLS,279 Units,"Olympia, WA",https://imberolympia.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_ivy_-_gpc_-_march_12_-_unit_111_-_web_-32-600x600.jpg,IVY AT INTERBAY,93 Units,"Seattle, WA",https://www.ivyinterbay.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/JGW600.jpg,J.G. WHITTIER,54 Units,"Seattle, WA",https://www.jgwhittier.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mls-22-600x600.jpg,JACK,135 Units,"Seattle, WA",https://www.jackapts.com/
https://thrivecommunities.com/wp-content/uploads/2023/08/600pxJasper.jpg,JASPER,91 Units,"Seattle, WA",https://www.jasperseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/04/23_1.jpg,JEFFERSON FLATS,177 Units,"Tacoma, WA",https://www.jeffersonflats.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_high_resolution_sw_view_exterior-600x600.jpg,JOSEPH ARNOLD LOFTS,131 Units,"Seattle, WA",https://www.thejoeseattle.com/
https://thrivecommunities.com/wp-content/uploads/2023/08/600pxLandes-100x100.jpg,LANDES,81 Units,"Seattle, WA",https://www.landesseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/1_edited-100x100.jpg,LIAM,80 Units,"Seattle, WA",https://liamapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_common-area_20455-1st-ave-ne_poulsbo-wa_liberty-ridge_rpi_pj-05021_04_nxpowerlite_copy-100x100.jpg,LIBERTY RIDGE,139 Units,"Poulsbo, WA",https://www.libertyridgepoulsbo.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mls-14-100x100.jpg,LIGHTHOUSE,239 Units,"Seattle, WA",https://www.lighthouseaptsseattle.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Luna600-100x100.jpg,LUNA WEST SEATTLE,99 Units,"Seattle, WA",https://lunawestseattle.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/MPlaza600-100x100.jpg,MADISON PLAZA,157 Units,"Kent, WA",https://www.madisonplazakent.com/
https://thrivecommunities.com/wp-content/uploads/2023/03/Madrone600px-100x100.jpg,MADRONE PASSIVE HOUSE,107 Units,"Seattle, WA",https://www.madroneseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/11/shnw-2471-100x100.webp,MARKWOOD,214 Units,"Burlington, WA",https://www.markwoodpnw.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_resized-exterior2-100x100.jpg,MEADOWS AT HERON CREEK,178 Units,"Hillsboro, OR",https://www.meadowsatheroncreek.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1mrg-old-entry-600x600.jpg,MERIDIAN GARDEN,80 Units,"Kent, WA",https://www.meridiangarden.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/Meridian600.jpg,MERIDIAN WEST,181 Units,"Puyallup, WA",https://www.meridianwestapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/Communities-Midtown-600x600.jpg,MIDTOWN SQUARE,412 Units,"Seattle, WA",https://midtownsquare.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_033-600x600.jpg,NORLAND TRAILS,100 Units,"Poulsbo, WA",https://www.norlandtrails.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_thrive_14-600x600.jpg,NORTHLINE,111 Units,"Seattle, WA",https://www.northlineapts.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Oliver_edited.jpg,OLIVER,67 Units,"Bainbridge Island, WA",https://liveattheoliver.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/ondina-exterior-2_cropped-600x600.jpg,ONDINA,249 Units,"Bellevue, WA",https://liveondina.com/
https://thrivecommunities.com/wp-content/uploads/2024/11/02_p1816727_one24_1_photogallery-600x600.webp,ONE24,124 Units,"Portland, OR",https://www.one24apartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/Thr_015-600x600.jpg,ORENDA AT OTHELLO SQUARE,176 Units,"Seattle, WA",https://orendaothello.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Outpost-44-Drone-Image-courtesy-of-firefly-aerial-media-3_edited.jpg,OUTPOST 44,130 Units,"Bend, OR",https://www.outpost44bend.com/
https://thrivecommunities.com/wp-content/uploads/2024/12/MG_6377RGB_edited.jpg,OXBOW49,166 Units,"Portland, OR",https://www.oxbow49.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_parc_11_courtyard-600x600.jpg,PARC ON 11TH,136 Units,"Everett, WA",https://www.parc11th.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_cabana-600x600.jpg,PARC ON 12TH,108 Units,"Everett, WA",https://www.parc12th.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_park05-600x600.jpg,PARK AT NORTHGATE,146 Units,"Seattle, WA",https://www.parkatnorthgateliving.com/
https://thrivecommunities.com/wp-content/uploads/2024/11/adobestock_141465993_edited.jpg,PARKSIDE APARTMENTS,29 Units,"Monroe, WA",https://www.thesagecollectionpnw.com/
https://thrivecommunities.com/wp-content/uploads/2022/08/Peak600-100x100.jpg,PEAK AT SUNRISE,80 Units,"Puyallup, WA",https://www.peakatsunrise.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_110-100x100.jpg,PLEASANT BAY,56 Units,"Kirkland, WA",https://www.pleasantbayapartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mls-46-100x100.jpg,PORCHLIGHT,236 Units,"Federal Way, WA",https://www.porchlightapartments.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Six-Was-Nine_SWN-Parcel-3BC-Terrace_Final-02-1_edited-100x100.jpg,PORTAL,130 Units,"Eugene, OR",https://portaleugene.com/
https://thrivecommunities.com/wp-content/uploads/2025/01/Porter-100x100.jpg,PORTER,136 Units,"Tacoma, WA",https://portertacoma.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_photo1_prism_exterior-100x100.jpg,PRISM,138 Units,"Seattle, WA",https://www.liveatprism.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_jannell-11903_ne_116th_st_apt_b9-living-dining_1-staged-sa2_1-100x100.jpg,PROMENADE,100 Units,"Vancouver, WA",https://www.liveatpromenade.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_007-100x100.jpg,RAINIER POINTE,241 Units,"Fife, WA",https://www.rainierpointe.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Pahlisch-LG-9_edited-100x100.jpg,RED HAWK & LAUREL GREY,92 Units,"Bend, OR",https://www.redhawklaurelgrey.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1rooster_005-600x600.jpg,ROOSTER,197 Units,"Seattle, WA",https://www.roosterapartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mls-11-600x600.jpg,SAILHOUSE,211 Units,"Kirkland, WA",https://www.sailhouseapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_exterior02-600x600.jpg,SAMM,93 Units,"Sammamish, WA",https://www.liveatsamm.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_session-unit1-004_k2la2t-600x600.jpg,SESSION,96 Units,"Seattle, WA",https://www.sessionapartments.com/
https://thrivecommunities.com/wp-content/uploads/2024/11/02_p1816725_solisatpetrosa_1_photogallery-600x600.jpg,SOLIS AT PETROSA,260 Units,"Bend, OR",https://www.solisbend.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/sorrel600-600x600.jpg,SORREL,140 Units,"Kirkland, WA",https://www.sorrelapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_dscf3946_47_48_49_50_copy-600x600.jpg,SPRUCE,217 Units,"Seattle, WA",https://www.liveatspruce.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_rsz_thrive_023_copy-600x600.jpg,STARBOARD,80 Units,"Kirkland, WA",https://www.starboardapts.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/State600.jpg,STATE STREET,159 Units,"Seattle, WA",https://statestreetseattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/05/Communities-StationHouse-600x600.jpg,STATION HOUSE,196 Units,"Redmond, WA",https://www.stationhouseredmond.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_st9_20-600x600.jpg,STATION NINE,126 Units,"Lynnwood, WA",https://www.station9apts.com/
https://thrivecommunities.com/wp-content/uploads/2023/08/Stellar_edited.jpg,STELLAR,160 Units,"Seattle, WA",https://www.stellarseattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1stencilnew-100x100.jpg,STENCIL,39 Units,"Seattle, WA",https://www.stencilapartments.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Summit600-100x100.jpg,SUMMIT AT MADISON PARK,221 Units,"Seattle, WA",https://summitatmadisonpark.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/Surrey_edited-100x100.jpg,SURREY ON MAIN,125 Units,"Bellevue, WA",https://www.surreyonmain.com/
https://thrivecommunities.com/wp-content/uploads/2024/12/ss1-50_edited-100x100.jpg,SUTTER’S SQUARE,94 Units,"Everett, WA",https://www.suttersquareapartments.com/
https://thrivecommunities.com/wp-content/uploads/2024/02/793_Swift_4200_nitze_stagen_Exterior_D5_edited-1-100x100.jpg,SWIFT,203 Units,"Seattle, WA",https://liveatswift.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/original-fdd0cb8f7aed238480f5a492657a82c126c07cdb_edited-100x100.jpg,SYLVA ON MAIN,74 Units,"Bellevue, WA",https://www.liveatsylva.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1thr_044-100x100.jpg,TERRACE STATION,258 Units,"Mountlake Terrace, WA",https://www.terracestationapts.com/
https://thrivecommunities.com/wp-content/uploads/2023/06/Astor600-100x100.jpg,THE ASTOR,156 Units,"Tacoma, WA",https://www.liveattheastor.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_015-100x100.jpg,THE CENTRAL,93 Units,"Seattle, WA",https://www.thecentralapartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_020-600x600.jpg,THE CURRENT,330 Units,"Shoreline, WA",https://www.thecurrentshoreline.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/The-Dock-1_edited.jpg,THE DOCK AT SURPRISE LAKE,338 Units,"Milton, WA",https://www.docksurpriselake.com/
https://thrivecommunities.com/wp-content/uploads/2024/07/Ariel-The-Douglas-Unit-127-Living-Dining-staged-corrected2-VD-1-1_1.jpg,THE DOUGLAS AT SUNRISE,120 Units,"Puyallup, WA",https://www.thedouglasatsunrise.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/Eddy600.jpg,THE EDDY AT GREEN LAKE VILLAGE,130 Units,"Seattle, WA",https://greenlakevillage.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1015_custom-600x600.jpg,THE ENCLAVE AT NORTHGATE,428 Units,"Seattle, WA",https://www.enclaveatnorthgate.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_mh-living-resized-600x600.jpg,THE GROVES,366 Units,"Kent, WA",https://www.thegroveskent.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/ParkDash600.jpg,THE PARK AT DASHPOINT,280 Units,"Federal Way, WA",https://www.parkatdashpoint.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/postimage-600x600.jpg,THE POST,108 Units,"Clackamas, OR",https://www.thepostclackamas.com/
https://thrivecommunities.com/wp-content/uploads/2022/10/TheRow600x600-600x600.jpg,THE ROW TOWNHOMES,101 Units,"Bellevue, WA",https://therowtownhomes.com/
https://thrivecommunities.com/wp-content/uploads/2022/09/Sophie600.jpg,THE SOPHIE,46 Units,"Poulsbo, WA",https://www.liveatsophie.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Teel600.jpg,THE TEEL AT GREEN LAKE VILLAGE,155 Units,"Seattle, WA",https://theteel.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_private-park-600x600.jpg,THE THORNTON,123 Units,"Portland, OR",https://www.thethorntonpdx.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_014-600x600.jpg,THE VILLAGE AT TEN TRAILS,176 Units,"Black Diamond, WA",https://www.villageattentrails.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/Wilder600.jpg,THE WILDER,79 Units,"Seattle, WA",https://thewilderseattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1mls-8-600x600.jpg,TIMBERS AT KENMORE,136 Units,"Kenmore, WA",https://www.timbersatkenmore.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_pool2-1-100x100.jpg,TOWN CENTER PARK,111 Units,"Willsonville, OR",https://www.towncenterparkapartments.com/
https://thrivecommunities.com/wp-content/uploads/2023/06/Trace600-100x100.jpg,TRACE 4001,196 Units,"Seattle, WA",https://trace4001.com/
https://thrivecommunities.com/wp-content/uploads/2024/07/Trailhead_Building-1_Revised_1_1-100x100.jpg,TRAILHEAD AT THE PRESERVE,109 Units,"Bremerton, WA",https://www.trailheadpnw.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_3-100x100.jpg,TRILLIUM,90 Units,"Edmonds, WA",https://www.liveattrillium.com/
https://thrivecommunities.com/wp-content/uploads/2024/12/Twenty-11-Splash-Full-6-Copy_edited-100x100.jpg,TWENTY 11,37 Units,"Bend, OR",https://twenty11bend.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_primaryphoto-100x100.jpg,UNION 18,57 Units,"Seattle, WA",https://www.union18seattle.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_print_15-100x100.jpg,UNION PARK,84 Units,"Seattle, WA",https://www.unionparkapartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_print_01-100x100.jpg,VALE,110 Units,"Issaquah, WA",https://www.liveatvale.com/
https://thrivecommunities.com/wp-content/uploads/2023/08/600pxVerve-100x100.jpg,VERVE,161 Units,"Seattle, WA",https://liveatverve.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/48-CBRE_Porchlight_UnionMills-47_edited.jpg,VILLAGE AT UNION MILLS,182 Units,"Lacey, WA",https://www.thevillageatunionmills.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Tressa600.jpg,VIV,474 Units,"Seattle, WA",https://www.vivseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/07/Walnut-Trail-Streetscape_Revised_edited-600x600.jpg,WALNUT TRAIL,96 Units,"Burlington , WA",https://www.walnuttrailpnw.com/
https://thrivecommunities.com/wp-content/uploads/2023/10/Waterbrook600.jpg,WATERBROOK,189 Units,"Kent, WA",https://www.waterbrookapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1thr_037-600x600.jpg,WATERFRONT PLACE,266 Units,"Everett, WA",https://www.waterfrontplaceapartments.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_entrance-600x600.jpg,WATERSTONE AT SILVERCREEK,180 Units,"Bothell, WA",https://www.waterstoneatsilvercreek.com/
https://thrivecommunities.com/wp-content/uploads/2023/11/Wayfarer-Vulcan-Website_cropped-600x600.jpg,WAYFARER,261 Units,"Seattle, WA",https://wayfarerseattle.com/
https://thrivecommunities.com/wp-content/uploads/2024/09/Westhaven-poi-011_edited.jpg,WESTHAVEN,190 Units,"Seattle, WA",https://www.westhavenseattle.com/
https://thrivecommunities.com/wp-content/uploads/2023/06/Westview600-600x600.jpg,WESTVIEW VILLAGE,120 Units,"Renton, WA",https://www.westviewvillageapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_1jannell-westwynd_apartments-living_room_staged_%D1%81orrected_2_hd-600x600.jpg,WESTWYND,120 Units,"Vancouver, WA",https://www.westwyndapartments.com/
https://thrivecommunities.com/wp-content/uploads/2024/12/Willow_Pointe_056_edited.jpg,WILLOW POINTE,192 Units,"Vancouver, WA",https://www.willowpointeapts.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_wc_27-600x600.jpg,WOODCREEK,164 Units,"Lynnwood, WA",https://www.woodcreekcommunity.com/
https://thrivecommunities.com/wp-content/uploads/2022/06/rsz_jannell-woodland_estates-kitchen-staged-v2-sm_2-600x600.jpg,WOODLAND ESTATES,199 Units,"Kent, WA",https://www.woodlandestateskent.com/
