Community Name,Address,Phone Number,Listing Price,Website URL,Image URL,Studio,1 BD,2 BD,3 BD,4 BD
Sabina,"3400 Harmon Ave Austin, TX 78705",844-807-3529,1349,http://www.sabinaaustin.com,https://app.repli360.com/storage/cws-apartments/23-lhb8zi-540x360.jpg,1349,1472,2249,,
SoCo on the Lake,"222 E Riverside Dr Austin, TX 78704",844-811-3667,1284,http://www.socoapartments.com,https://app.repli360.com/storage/cws-apartments/the-704-3-eok7kc-540x360.jpg,1319,1284,1989,,
The Avery,"15222 FM 620 N, Austin, TX 78717",(855) 442-2271,1209,http://www.theaveryaustin.com,https://app.repli360.com/storage/cws-apartments/speakeasy-render-2-w5pokv-zsuiyw-540x360.jpg,,1209,1824,2349,
The Brunswick,"141 Holcomb Bridge Rd Norcross, GA 30071",855-631-5526,1524,http://www.TheBrunswickApt.com,https://app.repli360.com/storage/cws-apartments/theclark-cover-ihcuoc-540x360.jpg,,1524,2143,2790,
The Everett,"11205 N FM 620 Austin, TX 78726",,1349,https://www.theeverettaustin.com/,https://app.repli360.com/storage/cws-apartments/fairmont-at-willow-creek-0-meiqxr-540x360.jpg,,1349,1995,2565,
The Gabriel,"8421 183A Toll Road Leander, TX 78641",888-918-5141,1200,http://www.thegabrielaustin.com,https://app.repli360.com/storage/cws/the-height-1-540x360.png,,1200,1701,2341,
The Marq at Brookhaven,"50 Lincoln Court Ave NE, Atlanta, GA 30329",888-226-0276,1313,http://www.MarqBrookhaven.com,https://app.repli360.com/storage/cws-apartments/marq-at-ridgegate-1-k1kb5m-1-540x360.jpg,,1313,1969,2283,
The Marq on West 7th,"701 Arch Adams Ln, Fort Worth, TX 76107",844-872-7472,1096,http://www.marqonwest7th.com,https://app.repli360.com/storage/cws-apartments/marquis-at-brushy-creek-2-mc20af-540x360.jpg,1260,1096,1808,2453,
The Nash,"8213 Meadow Rd, Dallas, TX 75231",855-442-1403,1199,http://www.thenashapt.com,https://app.repli360.com/storage/cws-apartments/park-at-flower-mound-5-wfckoq-540x360.jpg,1199,1299,1737,2870,
The Preserve at Ballantyne Commons,"11280 Foxhaven Dr Charlotte, NC 28277",844-805-2015,1495,http://www.preserveballantyne.net,https://app.repli360.com/storage/cws-apartments/thewyatt-lobby-2-540x360.jpg,,1495,1783,2242,
Two99 Monroe,"299 Monroe Avenue Roanoke, TX 76262",(888) 215-8599,1449,http://www.cwstwo99monroe.com,https://app.repli360.com/storage/cws-apartments/water-marq-26-ak5mzc-540x360.jpg,,1449,1982,,
Westerly 360,"2500 Walsh Tarlton Ln Austin, TX 78746",855-810-7524,1722,http://www.westerly360austin.com/,https://app.repli360.com/storage/cws-apartments/whisper-creek-pool-twilight-1-bjzrka-540x360.jpg,,1722,2467,,
