propertyName,priceRent,fullAddress,addressLine1,city,state,zip,longitude,latitude
,2700.0,"4909 Auburn Avenue Bethesda, MD",4909 Auburn Avenue,Bethesda,MD,20814,-77.10019,38.990044
Welcome to Charm City: Find Your Baltimore Apartment,1871.0,"1901 South Charles St Baltimore, MD",1901 South Charles St,Baltimore,MD,21230,-76.6131178,39.2678714
The Best of Both Worlds,,,,,,,,,
,1951.0,"6420 Cherrywood Lane Greenbelt, MD",6420 Cherrywood Lane,Greenbelt,MD,20770,-76.89818389999999,39.0106848
,2265.0,"2553 Riva Road Annapolis, MD",2553 Riva Road,Annapolis,MD,21401,-76.5521847,38.9763087
,,"4701 Old Soper Road Camp Springs, MD",4701 Old Soper Road Camp,Springs,MD,20746,-76.913347,38.8244842
,,"12633 Georgia Ave. Silver Spring, MD",12633 Georgia Ave. Silver,Spring,MD,20906,-77.0556412,39.06444750000001
Residential Life in Lowell,,"100 Balsam Place Tewksbury, MA",100 Balsam Place,Tewksbury,MA,01876,-71.2162014,42.5995678
,2423.0,"3780 Mystic Valley Parkway Medford, MA",3780 Mystic Valley Parkway,Medford,MA,02155,-71.0950519,42.4069455
,,"99 Needham Street Newton, MA",99 Needham Street,Newton,MA,02461,-71.2125006,42.3141901
Residential Life in Methuen,973.0,"11434 Culebra Rd San Antonio, TX",11434 Culebra Rd San,Antonio,TX,78253,-98.718892,29.498012
,2295.0,"2500 Avalon Drive Sharon, MA",2500 Avalon Drive,Sharon,MA,02067,-71.19869249999999,42.147353
Boston Apartments Offer Convenient City Living,3082.0,"899 Congress Street Boston, MA",899 Congress Street,Boston,MA,02210,-71.0376168,42.347434
,2675.0,"72 FLINT STREET Salem, MA",72 FLINT STREET,Salem,MA,01970,-70.905868,42.522171
,,"492 Boston Post Rd Wayland, MA",492 Boston Post Rd,Wayland,MA,01778,-71.3822706,42.3637186
,2354.0,"117 Dean Avenue Franklin, MA",117 Dean Avenue,Franklin,MA,02038,-71.3924006,42.0861486
Historic Charm in Chelmsford,2884.0,"250 1st Avenue Charlestown, MA",250 1st Avenue,Charlestown,MA,02129,-71.0501018,42.3773173
,2884.0,"250 1st Avenue Charlestown, MA",250 1st Avenue,Charlestown,MA,02129,-71.0501018,42.3773173
Salisbury Apartment Communities,,"191 Beach Rd, Salisbury, MA 01952",191 Beach Rd,Salisbury,MA,01952,-70.82719981349217,42.84249996673806
Dover Heights,1898.0,"117 Central Street Acton, MA",117 Central Street,Acton,MA,01720,-71.4681074,42.46655
,2297.0,"9 Bay Drive Canton, MA",9 Bay Drive,Canton,MA,02021,-71.0846397,42.1818229
Discover the Peace of Tewksbury,,"100 Balsam Place Tewksbury, MA",100 Balsam Place,Tewksbury,MA,01876,-71.2162014,42.5995678
Edgewood,2467.0,"100 Lowell Road North Reading, MA",100 Lowell Road North,Reading,MA,01864,-71.1243808,42.5836106
Flats on First Apartments,3095.0,"21 Charles St,  Cambridge, MA","21 Charles St,",Cambridge,MA,02141,-71.0783837,42.3674074
Riverbridge North LLC,,"65 River Road W Berlin, MA",65 River Road W,Berlin,MA,01503,-71.6233701,42.3571345
Halstead Salem Station Apartments,2675.0,"72 FLINT STREET Salem, MA",72 FLINT STREET,Salem,MA,01970,-70.905868,42.522171
Feel at Home in Haverhill,2199.0,"10 Primrose Way Haverhill, MA",10 Primrose Way,Haverhill,MA,01830,-71.0917596,42.79475799999999
Chestnut Place,,"13 Joanne Drive Ashland, MA",13 Joanne Drive,Ashland,MA,01721,-71.4545907,42.24571299999999
Explore Minneapolis,1320.0,"2841 Bryant Avenue S Minneapolis, MN",2841 Bryant Avenue S,Minneapolis,MN,55408,-93.2903522,44.9508636
,1470.0,"6400 Sycamore Lane Maple Grove, MN",6400 Sycamore Lane Maple,Grove,MN,55369,-93.44276819999999,45.0691676
,1419.0,"16255 Kenyon Ave. Lakeville, MN",16255 Kenyon Ave.,Lakeville,MN,55044,-93.28575529999999,44.7130132
Explore Living in St. Louis Park,1470.0,"800 Walnut Place Chaska, MN",800 Walnut Place,Chaska,MN,55318,-93.6015998,44.7917946
,1296.0,"13905 Chestnut Drive Eden Prairie, MN",13905 Chestnut Drive Eden,Prairie,MN,55344,-93.45319339999999,44.85154379999999
Explore our Woodbury Apartment Communities,,,,,,,,,
,1194.0,"2410 University Ave St. Paul, MN",2410 University Ave St.,Paul,MN,55114,-93.19859369999999,44.9637148
