propertyName,priceRent,fullAddress,addressLine1,city,state,zip,longitude,latitude
,,"2350 Windward Lane Gainesville, GA",2350 Windward Lane,Gainesville,GA,30501,-83.8001664,34.3265129
Unique Sandy Springs Apartments,1499,"6919 Peachtree Dunwoody Rd Sandy Springs, GA",6919 Peachtree Dunwoody Rd Sandy,Springs,GA,30328,-84.3527266,33.9458323
"Discover our Communities in Hoschton, GA",1460,"1010 Rosefinch Landing Hoschton, GA",1010 Rosefinch Landing,Hoschton,GA,30548,-83.8669598,34.1066832
"Apartments For Rent in Buckhead, GA",1281,"235 Pharr Rd NE Atlanta, GA",235 Pharr Rd NE,Atlanta,GA,30305,-84.3799312,33.8362357
,,"100 Agee Ln McDonough, GA",100 Agee Ln,McDonough,GA,30253,-84.1419732,33.4653973
,1285,"1780 Graves Rd Norcross, GA",1780 Graves Rd,Norcross,GA,30093,-84.2243273,33.9035206
Discover our Apartments in Loganville,,"100 Chase Landing Drive Loganville, GA",100 Chase Landing Drive,Loganville,GA,30052,-83.9023801,33.850914
,1382,"680 Park Bridge Pkwy Alpharetta , GA",680 Park Bridge Pkwy Alpharetta,,GA,30005,-84.240269,34.0646657
"Come Home to Our Community in Conyers, GA",,"2021 Old Covington Highway SE Conyers, GA",2021 Old Covington Highway SE,Conyers,GA,30013,-83.9811906,33.6411447
,1825,"40 Cottage Drive Ringgold, GA",40 Cottage Drive,Ringgold,GA,,-85.1091173,34.9159099
,1850,"1801 Hamilton Rd Lagrange, GA",1801 Hamilton Rd,Lagrange,GA,30241,-85.012596,33.006582
Southern Charm in our Savannah Apartments,1999,"2 Venice Place Pooler, GA",2 Venice Place,Pooler,GA,31322,-81.2443938,32.1274875
,,"10 American Ave Newnan, GA",10 American Ave,Newnan,GA,30263,-84.7829886,33.390658
,1000,"59 Anderson Ave Canton, GA",59 Anderson Ave,Canton,GA,30114,-84.4961664,34.2412538
,,"3251 Cross Road Buford, GA",3251 Cross Road,Buford,GA,30519,-83.974895,34.07424
"Retreat to Villa Rica, GA",,"211 Cypress Lane Villa Rica, GA",211 Cypress Lane Villa,Rica,GA,30180,-84.9434371,33.716759
"Discover our Barnesville, GA Communities",1810,"516 College Drive Barnesville, GA",516 College Drive,Barnesville,GA,30204,-84.1535735,33.0411994
Apartments in Atlanta,1430,"1659 Monroe Drive Atlanta, GA",1659 Monroe Drive,Atlanta,GA,30324,-84.3690239,33.7988351
,,"2300 Paris Road Dallas, GA",2300 Paris Road,Dallas,GA,30157,-84.795731,33.898425
,2195,"375 Southport Parkway Brunswick, GA",375 Southport Parkway,Brunswick,GA,31523,-81.5834279,31.1307558
Small-Town Living at our Jefferson Apartment Communities,,"575 Concord Rd Jefferson, GA",575 Concord Rd,Jefferson,GA,30549,-83.646409,34.1576943
"Apartments in Dacula, GA",,"1852 Auburn Road Dacula, GA",1852 Auburn Road,Dacula,GA,30019,-83.9232935,34.047413
,,"5023 Woodland Hls Powder Springs, GA",5023 Woodland Hls Powder,Springs,GA,30127,-84.7007235,33.8545301
,1241,"2080 Benton Blvd Pooler, GA",2080 Benton Blvd,Pooler,GA,31407,-81.2323635,32.1712164
"Discover the Historic Charm of Cartersville, GA",,"111 Lipscomb Circle SE  Cartersville, GA",111 Lipscomb Circle SE,Cartersville,GA,30121,-84.8081242,34.2051998
,,"750 Avondale Creek Drive Decatur, GA",750 Avondale Creek Drive,Decatur,GA,30032,-84.2525753,33.7750724
"Welcome to Acworth, GA",1398,"1000 Etowah Ferry Drive Acworth, GA",1000 Etowah Ferry Drive,Acworth,GA,30102,-84.5817752,34.0993816
,2280,"1000 S Michigan Ave Chicago, IL",1000 S Michigan Ave,Chicago,IL,60605,-87.6246981,41.869828
Start Your Next Chapter at Lincoln in Oak Park,1819,"1133 South Boulevard Oak Park, IL",1133 South Boulevard Oak,Park,IL,60302,-87.804607,41.8865832
Enjoy Endless Possibilities at our Apartments in Chicago,2270,"833 N Clark St Chicago , IL",833 N Clark St Chicago,,IL,60610,-87.6308951,41.89742529999999
"Retreat to Bolingbrook, IL",1713,"350 Whitewater Drive Bolingbrook, IL",350 Whitewater Drive,Bolingbrook,IL,60440,-88.0951854,41.7075776
Arlington Heights Apartments,1996,"1551 E Central Road Arlington Heights, IL",1551 E Central Road Arlington,Heights,IL,60005,-87.964415,42.0660641
Envision Your Future at an Evanston Apartment,1884,"8000 Lincoln Avenue Skokie, IL",8000 Lincoln Avenue,Skokie,IL,60077,-87.7550602,42.026523
,,"103 Oak Leaf Ln Vernon Hills, IL",103 Oak Leaf Ln Vernon,Hills,IL,60061,-87.9470743,42.21065369999999
Idyllic Apartments for Rent in Aurora,,"3055 Riverbirch Dr Aurora, IL",3055 Riverbirch Dr,Aurora,IL,60502,-88.2776303,41.8182377
Find The Perfect Balance in Woodridge,1180,"6690 Double Eagle Drive Woodridge, IL",6690 Double Eagle Drive,Woodridge,IL,60517,-88.0711533,41.7636256
"Apartments in Beautiful Naperville, Illinois",,"803 Corday Dr Naperville, IL",803 Corday Dr,Naperville,IL,60540,-88.1882887,41.7575355
,1116,"1854 Century Way Indianapolis, IN",1854 Century Way,Indianapolis,IN,46260,-86.1897968,39.90407099999999
,1245,"4101 Herb Lewis Rd Jeffersonville, IN",4101 Herb Lewis Rd,Jeffersonville,IN,47130,-85.7009134,38.3374604
"Discover Our Apartment Communities in Carmel, IN",1625,"525 North End Drive Carmel, IN",525 North End Drive,Carmel,IN,46032,-86.1360295,39.9864271
Luxury Apartments in Johnson County,1605,"1525 Birdie Way Lawrence, KS",1525 Birdie Way,Lawrence,KS,66047,-95.2928583,38.9542848
Explore Louisville,1373,"200 W Liberty St Louisville, KY",200 W Liberty St,Louisville,KY,40202,-85.7544768,38.2516193
"Live on the Pulse of New Orleans, LA",,"808 Constance Street New Orleans, LA",808 Constance Street New,Orleans,LA,70130,-90.0683329,29.9448552
Discover Our Communities in Lafayette,880,"2314 Kaliste Saloom Rd Lafayette, LA",2314 Kaliste Saloom Rd,Lafayette,LA,70508,-92.0439257,30.161456
,2700,"4909 Auburn Avenue Bethesda, MD",4909 Auburn Avenue,Bethesda,MD,20814,-77.10019,38.990044
Welcome to Charm City: Find Your Baltimore Apartment,1871,"1901 South Charles St Baltimore, MD",1901 South Charles St,Baltimore,MD,21230,-76.6131178,39.2678714
,1951,"6420 Cherrywood Lane Greenbelt, MD",6420 Cherrywood Lane,Greenbelt,MD,20770,-76.8981839,39.0106848
,2265,"2553 Riva Road Annapolis, MD",2553 Riva Road,Annapolis,MD,21401,-76.5521847,38.9763087
,,"4701 Old Soper Road Camp Springs, MD",4701 Old Soper Road Camp,Springs,MD,20746,-76.913347,38.8244842
,,"12633 Georgia Ave. Silver Spring, MD",12633 Georgia Ave. Silver,Spring,MD,20906,-77.0556412,39.06444750000001
Residential Life in Lowell,,"100 Balsam Place Tewksbury, MA",100 Balsam Place,Tewksbury,MA,01876,-71.2162014,42.5995678
,2423,"3780 Mystic Valley Parkway Medford, MA",3780 Mystic Valley Parkway,Medford,MA,02155,-71.0950519,42.4069455
,,"99 Needham Street Newton, MA",99 Needham Street,Newton,MA,02461,-71.2125006,42.3141901
Residential Life in Methuen,973,"11434 Culebra Rd San Antonio, TX",11434 Culebra Rd San,Antonio,TX,78253,-98.718892,29.498012
,2295,"2500 Avalon Drive Sharon, MA",2500 Avalon Drive,Sharon,MA,02067,-71.1986925,42.147353
Boston Apartments Offer Convenient City Living,3082,"899 Congress Street Boston, MA",899 Congress Street,Boston,MA,02210,-71.0376168,42.347434
,2675,"72 FLINT STREET Salem, MA",72 FLINT STREET,Salem,MA,01970,-70.905868,42.522171
,,"492 Boston Post Rd Wayland, MA",492 Boston Post Rd,Wayland,MA,01778,-71.3822706,42.3637186
,2354,"117 Dean Avenue Franklin, MA",117 Dean Avenue,Franklin,MA,02038,-71.3924006,42.0861486
Historic Charm in Chelmsford,2884,"250 1st Avenue Charlestown, MA",250 1st Avenue,Charlestown,MA,02129,-71.0501018,42.3773173
,2884,"250 1st Avenue Charlestown, MA",250 1st Avenue,Charlestown,MA,02129,-71.0501018,42.3773173
Salisbury Apartment Communities,,"191 Beach Rd, Salisbury, MA 01952",191 Beach Rd,Salisbury,MA,01952,-70.82719981,42.84249996673806
Dover Heights,1898,"117 Central Street Acton, MA",117 Central Street,Acton,MA,01720,-71.4681074,42.46655
,2297,"9 Bay Drive Canton, MA",9 Bay Drive,Canton,MA,02021,-71.0846397,42.1818229
Discover the Peace of Tewksbury,,"100 Balsam Place Tewksbury, MA",100 Balsam Place,Tewksbury,MA,01876,-71.2162014,42.5995678
Edgewood,2467,"100 Lowell Road North Reading, MA",100 Lowell Road North,Reading,MA,01864,-71.1243808,42.5836106
Flats on First Apartments,3095,"21 Charles St,  Cambridge, MA","21 Charles St,",Cambridge,MA,02141,-71.0783837,42.3674074
Riverbridge North LLC,,"65 River Road W Berlin, MA",65 River Road W,Berlin,MA,01503,-71.6233701,42.3571345
Halstead Salem Station Apartments,2675,"72 FLINT STREET Salem, MA",72 FLINT STREET,Salem,MA,01970,-70.905868,42.522171
Feel at Home in Haverhill,2199,"10 Primrose Way Haverhill, MA",10 Primrose Way,Haverhill,MA,01830,-71.0917596,42.79475799999999
Chestnut Place,,"13 Joanne Drive Ashland, MA",13 Joanne Drive,Ashland,MA,01721,-71.4545907,42.24571299999999
Explore Minneapolis,1320,"2841 Bryant Avenue S Minneapolis, MN",2841 Bryant Avenue S,Minneapolis,MN,55408,-93.2903522,44.9508636
,1470,"6400 Sycamore Lane Maple Grove, MN",6400 Sycamore Lane Maple,Grove,MN,55369,-93.4427682,45.0691676
,1419,"16255 Kenyon Ave. Lakeville, MN",16255 Kenyon Ave.,Lakeville,MN,55044,-93.2857553,44.7130132
Explore Living in St. Louis Park,1470,"800 Walnut Place Chaska, MN",800 Walnut Place,Chaska,MN,55318,-93.6015998,44.7917946
,1296,"13905 Chestnut Drive Eden Prairie, MN",13905 Chestnut Drive Eden,Prairie,MN,55344,-93.4531934,44.85154379999999
,1194,"2410 University Ave St. Paul, MN",2410 University Ave St.,Paul,MN,55114,-93.1985937,44.9637148
