company_name,building_name,raw_address,phone,Studio,1 Bedroom,2 Bedroom,3 Bedroom
Kairoi Residential,thePEARL,"4647 S Jordan Pkwy, South Jordan, UT 84095",877.745.2780,,,,
Kairoi Residential,theRANDI,"218 S 200 E, Salt Lake City, UT 84111",877.747.0375,,,,
Kairoi Residential,theBEVERLY,"63 S 600 W, Salt Lake City, UT 84101",877.939.0480,,,,
Kairoi Residential,Galatyn Station,"2301 Performance Dr, Richardson, TX 75082",877.489.9752,,1465,1887,2664
Kairoi Residential,The Vue,"11327 Expo Blvd, San Antonio, TX, USA",855.627.2592,1326,1470,2188,3661
Kairoi Residential,View at Estancia,"827 Camino Vaquero Parkway, Austin, TX 78652",855.969.2327,1060,1269,1476,1652
Kairoi Residential,The Cameron,"4545 E Warren Ave, Denver, CO 80222",855.576.1209,1483,1804,2213,
Kairoi Residential,The Guthrie,"3218 Gonzales St, Austin, Texas 78702",877.626.6212,1082,1536,2428,
Kairoi Residential,The Bohéme,"1207 N Zang Blvd, Dallas, TX 75203",855.395.7250,1306,1501,2300,3949
Kairoi Residential,The Saint June,"5321 Barton Creek Blvd. Austin, Texas 78735",855.820.1693,,2209,2625,2973
Kairoi Residential,Selene Luxury Residences,"2620 Maple Ave, Dallas TX 75201",855.442.0684,2897,2999,4874,12911
Kairoi Residential,Siena Round Rock,"6531 Co Rd 110, Round Rock TX 78665",855.746.6594,,1071,1478,
Kairoi Residential,The Alcott,"2424 Alcott St, Denver, CO 80211",855.213.0825,,1701,2232,
Kairoi Residential,The Quincy,"91 Red River St, Austin TX 78701",855.223.9819,1433,1598,1825,5071
Kairoi Residential,Gibson Flats,"1219 South Lamar Boulevard, Austin, TX 78704",855.462.1370,,1234,2814,
Kairoi Residential,The Station at Riverfront Park,"1460 Little Raven Street, Denver, CO 80202",855.216.5624,1682,1699,2287,
Kairoi Residential,The Woodford on Mockingbird,"1412 Mockingbird Ln, Midland, TX 79705",855.220.1669,,1446,1896,2373
Kairoi Residential,Darby Knox District,"4444 Cole Avenue, Dallas TX 75205",888.336.6413,,1325,1592,
Kairoi Residential,Elora Flower Mound,"2601 Lakeside Parkway Flower Mound TX, 75022",855.460.2341,1384,1733,2158,2970
Kairoi Residential,Magnolia Heights,"5500 Broadway, San Antonio, TX 78209",855.441.9403,1571,1695,2141,3016
Kairoi Residential,Nove at Knox,"3031 Oliver St., Dallas, TX 75205",855.432.0329,1634,2480,3599,6355
Kairoi Residential,The Confluence,"1441 Little Raven Street, Denver, CO 80202",866.552.7259,1684,2041,3591,14657
Kairoi Residential,Hawthorne House,"7403 Wurzbach Road, San Antonio, Texas 78229",866.506.6186,,1183,1786,
Kairoi Residential,Whitley,"301 Brazos Street, Austin, TX 78701",855.821.8277,1997,2329,3414,
Kairoi Residential,State Street,"1520 N. Memorial Way Houston, TX 77007",855.214.3591,1540,1548,2305,
Kairoi Residential,Debut SoCo,"3809 South Congress Ave, Austin TX 78704",866.714.2427,,1464,1874,
Kairoi Residential,The Gentry on M Streets,"3736 Glencoe St, Dallas, TX 75206",877.607.3076,1439,2001,2500,
Kairoi Residential,Curate at Orchard Town Center,"14705 Orchard Pkwy. Westminster, CO 80023",844.404.6584,1647,1627,2086,2645
Kairoi Residential,The Katy Victory Park,"3111 N Houston St, Dallas, TX 75219, USA",855.250.1839,1691,1821,2960,
Kairoi Residential,Amelia at Farmers Market,"999 South Harwood Street, Dallas, TX 75201",855.725.0673,1311,1379,2076,
Kairoi Residential,Edison At Rino,"3063 Brighton Blvd, Denver, CO 80216, USA",877.606.3603,1492,1727,2243,
Kairoi Residential,Park 17,"1280 E 17th Ave, Denver, CO 80218, USA",888.988.7650,1454,1817,2921,3444
Kairoi Residential,The Boulevard at Sonterra,"210 E. Sonterra Blvd., San Antonio, TX 78258",833.489.0486,,1013,1460,1678
Kairoi Residential,Kingsland West,"18325 Kingsland Blvd., Houston, TX 77094",877.865.9165,,1168,1589,2228
